"sinner_id","sinner","rank","ego","filename","path"
"01","イサン","ZAYIN","烏瞰刀","001.png","assets/egos/yi-sang/001.png"
"01","イサン","HE","厳粛な哀悼","002.png","assets/egos/yi-sang/002.png"
"01","イサン","WAW","三千大世界","003.png","assets/egos/yi-sang/003.png"
"01","イサン","HE","凶弾","004.png","assets/egos/yi-sang/004.png"
"01","イサン","ZAYIN","過ぎし日","005.png","assets/egos/yi-sang/005.png"
"01","イサン","HE","次元裂き","006.png","assets/egos/yi-sang/006.png"
"01","イサン","TETH","願いの石","007.png","assets/egos/yi-sang/007.png"
"01","イサン","WAW","狐雨","008.png","assets/egos/yi-sang/008.png"
"01","イサン","TETH","4本目のマッチの火","009.png","assets/egos/yi-sang/009.png"
"02","ファウスト","ZAYIN","表象放出機","001.png","assets/egos/faust/001.png"
"02","ファウスト","HE","指令:メルトダウン","002.png","assets/egos/faust/002.png"
"02","ファウスト","WAW","永続","003.png","assets/egos/faust/003.png"
"02","ファウスト","HE","水袋","004.png","assets/egos/faust/004.png"
"02","ファウスト","HE","紅炎殺","005.png","assets/egos/faust/005.png"
"02","ファウスト","HE","胸痛","006.png","assets/egos/faust/006.png"
"02","ファウスト","TETH","投げ縄","007.png","assets/egos/faust/007.png"
"02","ファウスト","HE","電信柱","008.png","assets/egos/faust/008.png"
"02","ファウスト","TETH","呪いの釘","009.png","assets/egos/faust/009.png"
"02","ファウスト","TETH","9章2節","010.png","assets/egos/faust/010.png"
"03","ドンキホーテ","ZAYIN","ラ・サングレ・デ・サンチョ","001.png","assets/egos/don-quixote/001.png"
"03","ドンキホーテ","WAW","愛と憎悪の名の下に","002.png","assets/egos/don-quixote/002.png"
"03","ドンキホーテ","HE","紅籍","003.png","assets/egos/don-quixote/003.png"
"03","ドンキホーテ","WAW","渇望-ミルカラ","004.png","assets/egos/don-quixote/004.png"
"03","ドンキホーテ","TETH","願いの石","005.png","assets/egos/don-quixote/005.png"
"03","ドンキホーテ","TETH","電気哀鳴","006.png","assets/egos/don-quixote/006.png"
"03","ドンキホーテ","HE","電信柱","007.png","assets/egos/don-quixote/007.png"
"03","ドンキホーテ","TETH","一生シチュー","008.png","assets/egos/don-quixote/008.png"
"03","ドンキホーテ","HE","水袋","009.png","assets/egos/don-quixote/009.png"
"04","良秀","ZAYIN","森羅炎象","001.png","assets/egos/ryoshu/001.png"
"04","良秀","HE","4本目のマッチの火","002.png","assets/egos/ryoshu/002.png"
"04","良秀","WAW","三千大世界","003.png","assets/egos/ryoshu/003.png"
"04","良秀","HE","胸痛","004.png","assets/egos/ryoshu/004.png"
"04","良秀","TETH","赤眼","005.png","assets/egos/ryoshu/005.png"
"04","良秀","WAW","軽蔑、畏敬","006.png","assets/egos/ryoshu/006.png"
"04","良秀","HE","赤眼（開）","007.png","assets/egos/ryoshu/007.png"
"04","良秀","TETH","盲目","008.png","assets/egos/ryoshu/008.png"
"04","良秀","ZAYIN","ソーダ","009.png","assets/egos/ryoshu/009.png"
"05","ムルソー","ZAYIN","他人の鎖","001.png","assets/egos/meursault/001.png"
"05","ムルソー","HE","蒼影揮刀","002.png","assets/egos/meursault/002.png"
"05","ムルソー","WAW","粉砕される過去","003.png","assets/egos/meursault/003.png"
"05","ムルソー","WAW","渇望-ミルカラ","004.png","assets/egos/meursault/004.png"
"05","ムルソー","TETH","後悔","005.png","assets/egos/meursault/005.png"
"05","ムルソー","HE","カポーテ","006.png","assets/egos/meursault/006.png"
"05","ムルソー","TETH","電気哀鳴","007.png","assets/egos/meursault/007.png"
"05","ムルソー","TETH","ネジの外れた一撃","008.png","assets/egos/meursault/008.png"
"05","ムルソー","HE","執行","009.png","assets/egos/meursault/009.png"
"06","ホンル","ZAYIN","虚幻境","001.png","assets/egos/hong-lu/001.png"
"06","ホンル","HE","寧ろ吾をなさん","002.png","assets/egos/hong-lu/002.png"
"06","ホンル","WAW","汚血泣涙","003.png","assets/egos/hong-lu/003.png"
"06","ホンル","TETH","投げ縄","004.png","assets/egos/hong-lu/004.png"
"06","ホンル","TETH","低いなきごえ","005.png","assets/egos/hong-lu/005.png"
"06","ホンル","HE","次元裂き","006.png","assets/egos/hong-lu/006.png"
